iter	Passed	Remaining
188	495	2127
189	497	2120
190	498	2113
191	500	2104
192	501	2096
193	502	2089
194	504	2081
195	505	2073
196	506	2065
197	508	2057
198	511	2057
199	512	2050
200	515	2049
201	517	2043
202	518	2037
203	520	2030
204	522	2024
205	523	2017
206	525	2012
207	526	2006
208	528	1999
209	529	1991
210	530	1985
211	532	1977
212	533	1971
213	534	1964
214	536	1957
215	537	1951
216	539	1947
217	541	1941
218	542	1934
219	543	1927
220	544	1920
221	546	1913
222	547	1906
223	548	1899
224	549	1892
225	550	1886
226	552	1880
227	553	1874
228	555	1870
229	556	1863
230	557	1857
231	559	1852
232	561	1846
233	562	1840
234	563	1834
235	564	1828
236	566	1822
237	567	1816
238	569	1812
239	570	1807
240	571	1801
241	573	1795
242	574	1789
243	576	1786
244	577	1781
245	579	1776
246	580	1770
247	581	1764
248	584	1762
249	587	1762
250	588	1757
251	590	1752
252	592	1748
253	593	1743
254	595	1739
255	596	1734
256	599	1732
257	600	1727
258	602	1724
259	604	1720
260	606	1717
261	608	1713
262	610	1710
263	611	1706
264	613	1702
265	615	1698
266	617	1694
267	618	1690
268	620	1685
269	621	1680
270	622	1675
271	624	1670
272	625	1665
273	626	1660
274	627	1654
275	629	1651
276	630	1646
277	632	1641
278	633	1637
279	634	1632
280	636	1627
281	637	1622
282	638	1616
283	639	1611
284	640	1606
285	641	1600
286	643	1598
287	644	1594
288	646	1589
289	647	1585
290	648	1580
291	649	1575
292	650	1570
293	651	1565
294	652	1560
295	653	1555
296	654	1550
297	656	1545
298	658	1543
299	659	1539
300	660	1534
301	662	1530
302	663	1525
303	664	1521
304	665	1516
305	666	1511
306	667	1506
307	668	1501
308	669	1497
309	670	1492
310	673	1491
311	674	1487
312	675	1483
313	677	1479
314	678	1474
315	679	1470
316	680	1466
317	681	1462
318	682	1457
319	683	1453
320	684	1448
321	686	1444
322	687	1441
323	689	1438
324	690	1434
325	691	1430
326	692	1426
327	693	1421
328	694	1417
329	695	1413
330	697	1408
331	698	1404
332	699	1400
333	700	1396
334	702	1394
335	703	1391
336	705	1387
337	706	1383
338	707	1379
339	708	1376
340	709	1371
341	710	1367
342	711	1363
343	713	1359
344	714	1355
345	715	1351
346	717	1349
347	718	1346
348	719	1342
349	720	1338
350	722	1335
351	723	1331
352	724	1327
353	725	1323
354	726	1320
355	727	1316
356	728	1312
357	729	1308
358	731	1305
359	732	1302
360	734	1300
361	735	1296
362	737	1293
363	738	1290
364	739	1286
365	740	1282
366	741	1279
367	742	1275
368	743	1271
369	744	1268
370	746	1265
371	747	1262
372	748	1258
373	749	1255
374	751	1251
375	752	1248
376	753	1244
377	754	1240
378	755	1237
379	756	1233
380	757	1230
381	758	1226
382	759	1223
383	760	1220
384	762	1217
385	763	1214
386	764	1210
387	765	1207
388	766	1203
389	767	1200
390	768	1197
391	769	1193
392	770	1190
393	771	1186
394	772	1183
395	773	1180
396	775	1177
397	776	1174
398	777	1171
399	778	1168
400	779	1164
401	780	1161
402	781	1158
403	782	1154
404	783	1151
405	784	1148
406	785	1145
407	786	1141
408	787	1138
409	789	1135
410	790	1133
411	791	1130
412	793	1127
413	794	1123
414	795	1120
415	796	1117
416	797	1114
417	798	1111
418	799	1108
419	800	1105
420	801	1101
421	802	1098
422	803	1095
423	805	1094
424	806	1091
425	807	1088
426	808	1085
427	810	1082
428	811	1079
429	812	1076
430	813	1074
431	814	1071
432	816	1068
433	817	1065
434	818	1062
435	819	1060
436	821	1057
437	822	1055
438	823	1052
439	824	1049
440	825	1046
441	826	1043
442	827	1040
443	828	1037
444	829	1034
445	830	1031
446	831	1028
447	832	1026
448	833	1023
449	835	1020
450	836	1018
451	837	1015
452	838	1012
453	839	1009
454	840	1006
455	841	1004
456	842	1001
457	843	998
458	844	995
459	845	992
460	846	990
461	847	987
462	849	985
463	850	982
464	851	980
465	853	977
466	854	974
467	855	971
468	856	969
469	857	966
470	858	963
471	859	961
472	860	958
473	861	955
474	862	953
475	864	951
476	865	949
477	866	946
478	867	943
479	868	941
480	869	938
481	870	935
482	871	933
483	873	930
484	874	928
485	875	925
486	876	923
487	877	920
488	879	918
489	880	916
490	881	913
491	882	911
492	883	908
493	884	906
494	885	903
495	887	901
496	888	898
497	889	896
498	890	893
499	891	891
500	892	888
501	894	887
502	895	884
503	896	882
504	897	880
505	898	877
506	900	875
507	901	872
508	902	870
509	903	867
510	904	865
511	905	862
512	906	860
513	907	858
514	909	856
515	910	853
516	911	851
517	912	849
518	913	846
519	914	844
520	915	842
521	917	840
522	918	837
523	919	835
524	921	833
525	922	831
526	924	829
527	925	827
528	926	824
529	927	822
530	928	820
531	929	817
532	930	815
533	931	812
534	932	810
535	933	808
536	934	805
537	935	803
538	936	801
539	938	799
540	939	797
541	940	795
542	942	792
543	943	790
544	944	788
545	945	786
546	946	783
547	947	781
548	948	779
549	949	777
550	950	774
551	951	772
552	953	770
553	954	768
554	955	766
555	956	764
556	957	761
557	958	759
558	959	757
559	960	755
560	962	752
561	963	750
562	964	748
563	965	746
564	966	743
565	967	741
566	968	739
567	969	737
568	970	735
569	971	733
570	972	730
571	974	728
572	975	726
573	976	724
574	977	722
575	978	720
576	979	717
577	980	715
578	981	713
579	983	712
580	984	710
581	985	707
582	986	705
583	987	703
584	989	701
585	990	699
586	991	697
587	992	695
588	993	693
589	994	690
590	995	688
591	996	686
592	998	685
593	999	682
594	1000	680
595	1001	678
596	1002	677
597	1004	674
598	1005	672
599	1006	671
600	1007	669
601	1009	667
602	1010	665
603	1011	662
604	1012	661
605	1014	659
606	1015	657
607	1016	655
608	1017	653
609	1018	650
610	1019	648
611	1020	646
612	1021	644
613	1022	642
614	1023	640
615	1024	638
616	1025	636
617	1027	634
618	1028	632
619	1029	631
620	1030	629
621	1031	627
622	1032	624
623	1033	622
624	1034	620
625	1035	618
626	1036	616
627	1037	614
628	1039	612
629	1040	610
630	1041	609
631	1042	607
632	1044	605
633	1045	603
634	1046	601
635	1047	599
636	1048	597
637	1049	595
638	1050	593
639	1051	591
640	1052	589
641	1053	587
642	1054	585
643	1055	583
644	1057	581
645	1058	580
646	1059	578
647	1060	576
648	1061	574
649	1062	572
650	1063	570
651	1064	568
652	1066	566
653	1067	564
654	1068	562
655	1069	560
656	1070	558
657	1071	557
658	1073	555
659	1074	553
660	1075	551
661	1076	549
662	1077	547
663	1078	545
664	1079	543
665	1080	541
666	1081	539
667	1082	537
668	1083	536
669	1084	534
670	1085	532
671	1087	530
672	1088	528
673	1089	527
674	1091	525
675	1092	523
676	1093	521
677	1094	519
678	1095	517
679	1096	516
680	1097	514
681	1098	512
682	1099	510
683	1101	508
684	1102	506
685	1103	505
686	1104	503
687	1106	501
688	1107	499
689	1108	498
690	1109	496
691	1111	494
692	1112	492
693	1113	490
694	1114	489
695	1116	487
696	1117	485
697	1118	483
698	1119	482
699	1120	480
700	1121	478
701	1122	476
702	1123	474
703	1124	472
704	1125	471
705	1126	469
706	1127	467
707	1128	465
708	1130	463
709	1131	462
710	1132	460
711	1133	458
712	1134	456
713	1136	455
714	1137	453
715	1138	451
716	1139	449
717	1140	447
718	1141	446
719	1142	444
720	1143	442
721	1144	440
722	1146	439
723	1147	437
724	1148	435
725	1149	433
726	1150	431
727	1151	430
728	1152	428
729	1153	426
730	1154	424
731	1155	423
732	1156	421
733	1157	419
734	1158	417
735	1160	416
736	1161	414
737	1162	412
738	1163	411
739	1164	409
740	1165	407
741	1166	405
742	1167	403
743	1168	402
744	1170	400
745	1171	398
746	1172	397
747	1173	395
748	1174	393
749	1176	392
750	1177	390
751	1178	388
752	1179	386
753	1180	385
754	1181	383
755	1182	381
756	1183	379
757	1184	378
758	1185	376
759	1186	374
760	1187	373
761	1189	371
762	1190	369
763	1191	368
764	1192	366
765	1193	364
766	1194	363
767	1196	361
768	1197	359
769	1198	357
770	1199	356
771	1200	354
772	1201	352
773	1203	351
774	1204	349
775	1206	348
776	1207	346
777	1208	344
778	1209	343
779	1210	341
780	1211	339
781	1212	337
782	1213	336
783	1214	334
784	1215	332
785	1217	331
786	1219	329
787	1220	328
788	1221	326
789	1222	324
790	1223	323
791	1224	321
792	1225	319
793	1226	318
794	1227	316
795	1228	314
796	1229	313
797	1230	311
798	1231	309
799	1233	308
800	1234	306
801	1235	305
802	1236	303
803	1238	301
804	1239	300
805	1240	298
806	1241	296
807	1242	295
808	1243	293
809	1244	291
810	1245	290
811	1246	288
812	1247	286
813	1248	285
814	1249	283
815	1251	282
816	1252	280
817	1253	278
818	1254	277
819	1255	275
820	1256	273
821	1257	272
822	1258	270
823	1259	269
824	1260	267
825	1261	265
826	1262	264
827	1264	262
828	1265	261
829	1266	259
830	1267	257
831	1268	256
832	1269	254
833	1271	252
834	1272	251
835	1273	249
836	1274	248
837	1275	246
838	1276	244
839	1277	243
840	1278	241
841	1280	240
842	1281	238
843	1282	237
844	1283	235
845	1284	233
846	1285	232
847	1287	230
848	1288	229
849	1289	227
850	1290	226
851	1292	224
852	1294	222
853	1295	221
854	1296	219
855	1297	218
856	1298	216
857	1299	215
858	1300	213
859	1301	211
860	1302	210
861	1303	208
862	1304	207
863	1305	205
864	1306	203
865	1308	202
866	1309	200
867	1310	199
868	1312	197
869	1313	196
870	1314	194
871	1315	193
872	1316	191
873	1317	189
874	1318	188
875	1319	186
876	1320	185
877	1321	183
878	1322	182
879	1324	180
880	1325	179
881	1326	177
882	1327	175
883	1328	174
884	1329	172
885	1330	171
886	1331	169
887	1332	168
888	1333	166
889	1334	164
890	1335	163
891	1336	161
892	1338	160
893	1339	158
894	1340	157
895	1341	155
896	1343	154
897	1344	152
898	1345	151
899	1346	149
900	1347	148
901	1348	146
902	1349	144
903	1350	143
904	1351	141
905	1353	140
906	1354	138
907	1355	137
908	1356	135
909	1357	134
910	1358	132
911	1359	131
912	1360	129
913	1361	128
914	1362	126
915	1363	125
916	1364	123
917	1365	122
918	1367	120
919	1368	119
920	1369	117
921	1370	115
922	1371	114
923	1372	112
924	1373	111
925	1374	109
926	1376	108
927	1377	106
928	1378	105
929	1379	103
930	1380	102
931	1381	100
932	1382	99
933	1383	97
934	1385	96
935	1386	94
936	1387	93
937	1388	91
938	1389	90
939	1391	88
940	1392	87
941	1393	85
942	1394	84
943	1395	82
944	1397	81
945	1398	79
946	1399	78
947	1400	76
948	1402	75
949	1403	73
950	1404	72
951	1405	70
952	1406	69
953	1407	67
954	1408	66
955	1409	64
956	1410	63
957	1411	61
958	1413	60
959	1414	58
960	1415	57
961	1416	55
962	1417	54
963	1418	52
964	1419	51
965	1420	49
966	1421	48
967	1422	47
968	1423	45
969	1424	44
970	1425	42
971	1427	41
972	1428	39
973	1429	38
974	1430	36
975	1432	35
976	1433	33
977	1434	32
978	1435	30
979	1436	29
980	1437	27
981	1438	26
982	1439	24
983	1440	23
984	1442	21
985	1444	20
986	1445	19
987	1447	17
988	1448	16
989	1449	14
990	1450	13
991	1452	11
992	1453	10
993	1454	8
994	1455	7
995	1457	5
996	1458	4
997	1459	2
998	1460	1
999	1461	0
